Interface                      Status         Protocol           Description
Et1                            up             up                 MLAG_s1-leaf3_Ethernet1
Et2                            up             up                 P2P_s1-spine1_Ethernet5
Et3                            up             up                 P2P_s1-spine2_Ethernet5
Et4                            up             up                 SERVER_s1-host2_Eth2
Et6                            up             up                 MLAG_s1-leaf3_Ethernet6
Lo0                            up             up                 ROUTER_ID
Lo1                            up             up                 VXLAN_TUNNEL_SOURCE
Lo100                          up             up                 DIAG_VRF_Tenant_A_OP_Zone
Ma0                            up             up                 OOB_MANAGEMENT
Po1                            up             up                 MLAG_s1-leaf3_Port-Channel1
Po4                            down           lowerlayerdown     PortChannel
Vl110                          up             up                 Tenant_A_OP_Zone_1
Vl1199                         up             up                 
Vl3009                         up             up                 MLAG_L3_VRF_Tenant_A_OP_Zone
Vl4093                         up             up                 MLAG_L3
Vl4094                         up             up                 MLAG
Vx1                            up             up                 s1-leaf4_VTEP
